number,relevance,text
30354,1,"moving edit to the top: also, i was defending marijuana up there. in my original post i even said that heroin is very dangerous and should remain banned. you didnt even care about the points i was making. but anyway, you know exactly what it means your highness but ill explain it to you like a 5 year old child i guess, ,because you didn't like the way i phrased my point. (keyword: phrase)because my decision to shoot up heroin will affect me and the ones i love because they love me. of course. my entire immediate circle. i never said that wasnt true but because, like i said, you decided to take advantage of the way i phrased my point, i'll keep going. my decision to shoot up 20 children in an elementary school has effects that reach far out of my personal circle and involves people that are completely unrelated to me. as well as my own family and friends afterwards, and all of the families and friends of all the fucking people i'm able to spray any bullet at. in fact, unless you already have 20 children and decide to start heroin, it would be pretty tough to affect that many kids at once by starting to use drugs personally, let alone that it would take a while to develop the actual addiction. however a brief stint at a shopping mall with an ar-15 has instant and dramatic effects. they are uncomparable.tl;dr the way heroin affects people around you, and the way an ar-15 affect the people around you, are completely incomparable and i wont talk about it further because i actually believe you knew this is what i meant the whole time, and i feel ridiculous for obliging you right now.
"
32823,1,"Possibly. When you criminalize something, you allow criminals to control it. Drug dealers don't card you, because they don't care how old you are. On the other hand, if weed is legalized, many dealers will ""go out of business,"" because dispensaries can sell better product at lower prices. There may be shady people that take to the new niche market of selling to underage kids, but as with alcohol, this will come with hefty penalties if caught.
"
32882,1,"Mr. Tvert,In wake of growing metaphysicaloids across in the general region of colorado, as well as increasingly ionized marijuana growth south of the mahadingo district in mexico city, how does your coallition intend to counteract and/or prevent an unavoidable clash with neo-aztec gangs who are ticked off that your legislation has cut into their tortilla business?
"
33398,1,"He, in hindsight, clearly intended to push a soft public message with carefully chosen words. This represents a cave on his previous statements from that long-lost figure known as Senator Barack Obama, particularly with respect to medical marijuana. However, he also had the mindset that the war on drugs was a failed one, and that it needed to end.And again, no, he does not have to enforce it, as was made clear by not defending in court the DOMA. There's plenty of precedence throughout history for an administration telling the DoJ to spend its resources one way or another because the DoJ is part of the executive.EDIT: Just realized it might have sounded weird that I mentioned ""again"", should have qualified that it was in another comment in this discussion where I first mentioned the DoJ/Executive control thing. Oopsies.
"
37197,1,"You're naive if you believe that legalizing weed will actually end a multi-billion dollar business. If legalizing weed actually made a difference it wouldn't be allowed to happen.
"
37493,1,"Ever wonder why cocaine and meth are schedule 2 drugs, but weed isn't?Simple: cocaine and meth have precursor chemicals that would be banned under schedule 1. Therefore, these clearly more dangerous drugs are scheduled lower because those precursor chemicals make some people **A LOT** of money.Hey, ever wonder if these same self serving assholes would let a 4 billion a dollar year industry go untouched? Of course not! And that 4 billion a year industry? Afghanistan's opium harvest. A schedule 2 drug.
"
40160,1,"That's not what I asked and I'm not interested in that kind of discussion. I want to know what *you* think of Y-chromosomal Adam, as well as what you think about of concepts like most recent common ancestors. I'm asking you, I don't want to know what Christianity says it accepts. I'm looking for a bit more of a personal POV. I've already heard that Christianity accepts evolution, that is not new information to me. What I want to know now is what Christians actually think of these concepts, because many people from all walks of life would be happy to talk at length about how it makes the feel. But I've never met a Christian who wants to actually talk about it, talk about how it made them feel. All I ever knew was Christians growing up and I got in a boatload of trouble for talking about evolution. I'd never heard of atheism or even knew it was a thing, I was just obsessed with evolution as a child, and in all of the churches my parents went to I always got in trouble for it. I was always an outcast. It was a source of great depression to me, that I even turned to drugs as a teen (I thought I was some kind of criminal lowlife, but it was only smoking a bit of pot which is practically normalised these days).But yeah, I just thought I could finally ask a Christian, honestly, how thinking of evolution and specific amazing concepts like this makes them feel. Stating that Christianity accepts evolution is not a feeling. No one has ever read something about evolution and stopped mid way and thought ""wow, Christianity accept evolution"".Most people want to talk about how they feel about things. But I guess I can see why I was such an outcast. You know, it just occurred to me that maybe the reason my parents always punished me for being obsessed with evolution was not necessarily because they didn't believe in it, but maybe to protect me from our society. I just had a ""woah"" moment. Thanks for the talk, same time next week? Sorry, it's so weird talking about this kind of thing. I keep expecting that feeling of dread of my dad finding out I spent the night at the library reading books on evolution, like I need to look over my shoulder to keep from getting caught.
"
41505,1,"A *bin bag* of pot, at that, smuggled into a country well known for their tough anti-drug laws.
"
45405,0,">This is the only post that even addressed that guy The guy is lucky that he was even addressed. He is an infiltrated MRA. Please tell me why we should bother to engage a post that implies that most american women are whores. >you've presumed that social being and ultimately mode of production are not what determine ""self-expression"" and especially art. Where did I do that? >Tribal societies, which are characterized by a primitive communism, have almost identical aesthetics in art, clothing, religion, and mythology. I think you need to seriously work on your eurocentrism and anthropological reading. > Modern society is characterized by a highly fluid, materialistic, and reactionary (compared to say, Maoist China as that guy you banned rightly points out) fashion Fashion is indeed highly fluid. BolCHEvik also posted a good link to show how the soviets were great practitioners of nudism. But please tell me how you find current fashion unambiguously ""reactionary"" in non-moralistic terms - and let me know when that serves as an argument to denounce american women as ""whores"".> Anyone who thinks they can escape the influence of Capital by flashing their breasts in public (like the SlutWalk) or wearing hemp clothes is an idiot at best. Ableism aside, at no point did we endorse liberal feminism, and in the OP the precise point we made is that there is no way to ""escape"" current society, if you bothered to read, which it seems you didn't. Anyway I am sure you know better than the majority of liberal feminists when you justify the practice of ""slut-shaming"". Tell me more how this is a great tactic for the feminist movement. >Second, you presume that different societies with different modes of production are comparable, a disturbing idea for a Marxist. It is worth pointing out, when one is essentializing and naturalizing the status of a certain item as ""slutty"", ""less than human"", etc, that this is merely the predominant ideology of the current mode of production, and also one of the pillars of settlerist ideology. If we should indeed assume that less clothing is less than human, do we justify rape? Do we justify the way the settlers handled the natives of the lands they colonized? But really what you wrote is just a platitude. > In our society, clothing is completely determined by value since all things are determined by the production of surplus value. Economist reductionist. You completely ignore all analysis of the superstructure. This is very disturbing for a marxist. >Anyone who does not see that patriarchy (and of course men) are the bearers of social and economic power, and therefore determine fashion, what women wear, and what women think, is not a student of Marxism. You will note that we did not imply at any point that the choices women make are not informed by the world around them. The problem is that you are using this in order to denounce women. You are so concerned with orthodoxy you fail to see the consequences of the way you present your ideology. >""The ideas of the ruling class are in every epoch the ruling ideas, i.e. the class which is the ruling material force of society, is at the same time its ruling intellectual force"" is not an insult, it is simply something which is. Ok, so what does this monologue have to do with it? Are you saying that denouncing women as ""sluts"" because of the clothing they wear is the same as admitting that they are influenced by ruling class ideology? This is ridiculous, sorry. >1 sentence dismissals and the dude was banned is very disturbing. **No, sorry, you are defending a ""dude"" that is saying that less clothing ""makes rape easier"" and that american women are whores while trying to sound grandiose about tangents. I think this is disturbing.**
"
47151,1,"Basic game theory. _Somebody_ is going to do roids. To beat that somebody, you need to be either lucky, good, or on roids.Somebody needs to tell WADA, ASADA and the federal government idiots who just gave ASADA powers on par with the fucking AFP that it's up to individual leagues to set their own policies on this stuff and they should butt the fuck out. Case in point; disclosure of non-performance-enhancing recreational-drug positives in the AFL. Sure, if I test positive for, say, weed, my club should kick my arse for sabotaging the team (the same way that players who are caught at nightclubs at 4am pissed off their tits 2 days out from a game), but it's sure as fuck not going to help me win, and isn't the ""performance enhancing"" part of this the part that they're trying to stop? It really feels like this is all about pushing WADA's ""all drugs are bad and must be stopped at all cost"" angle, which all that shit a few weeks back with The Weapon and The Dank has legitimised in the public eye.The fact that the leagues' _operations_ people were woefully behind the times and managed to completely miss the shit at Essendon and Cronulla is not a policy issue, it's an ops one. You can't fix that with more policy.
"
49026,1,"""I would love to see a study that finds that the majority, or even a considerable percentage, of welfare recipients are perfectly content with their situation""Didn't say they were perfectly content, I said the social stigma you imagine isn't there.""As a household, they make well over $100,000k/yr, and they recognize that it wouldn't have happened if the society hadn't given them a leg up.""Unfortunately, it is YOU that seem to have no faith in people. These people did what they had to do to make it. Welfare or not, I'm sure they would be where they are today because of their work. Not because of the government.""I've worked with people that bust their ass every single day at two shit-paying jobs because they are felons, and that's all they can get.""Well, now you're getting into another issue, which is law enforcement and how it is unequally applied in this country. And no doubt this also touches on the Drug War, another huge waste of taxpayer money.Someone very close to me was on welfare. She has always described it as too little money and more trouble than it was worth. The stigma was not the issue AT ALL. It was a survival tactic on her part after her roommates screwed her over with several bills in an apartment she couldn't afford.I don't fault anyone for doing what they need to do to survive. But I don't think welfare is a good system. And, what you're proposing has the intent of helping, but would have the opposite long-term effect. You're not seeing the down-the-road consequences of handing out millions of taxpayer dollars.""Your premise here really doesn't make sense, especially considering that it is coming from someone who very much seems to look down on unproductive members of society. The social stigma already exists in you.""I personally don't have a problem with someone that wants to sit in their apartment all day and smoke pot and play video games. As long as you're not hurting anyone, I don't care what you do. I just have a problem with paying for someone else's lifestyle, whether its productive or not.""I've personally never known anyone who just contentedly sits around and collects welfare.""Well, then you've probably never known a drug addict.""Like when they are receiving a BI? If the generous in this country weren't so occupied with feeding the hungry and housing the homeless, there'd be more money for them to spend on other causes.""Except that you're taking tax money away from people through force to pay for this insane program. There will be no ""extra"" money because of the cost involved in collection and distribution.""The food-stamps program came about because 60-Minutes or Frontline or one of those news magazines did a special report on the fact that poor southerners were literally starving.""I'm not sure you know history, but here's [the Wikipedia entry about food stamps](http://en.wikipedia.org/wiki/Supplemental_Nutrition_Assistance_Program). People were not starving in the streets. People in the South at that time could still hunt a squirrel or find subsistence somewhere. When people die of starvation in the street THAT'S starvation. As the saying goes, hungry people don't stay hungry for long.""worked fantastically"" The only way you can make that phrase work is by invoking piles of starved bodies without the government's help. That would not have happened. The US is one of the most plentiful nations on the planet. Our cup runneth over with food resources. Why didn't people starve in the 20's? or the 30's? They didn't have welfare then. Where are the pictures of all the starving people from the late 1880's? Where is the historic record of cowboys starving or colonists? Starvation is an incredibly rare thing in the US. This isn't a desert.""Libertarians believe in individual freedom, or self determination. This is not a concept that is limited only to coercion by government.""Libertarians don't believe in government coercion. Sorry. Goodbye premise.""Capitalism is a coercive force, unless you eliminate wage slavery, which is the lack of choice that comes from the necessity of supporting the burden of survival within a capitalist system.""Sez the non-economist. No, it isn't. If you get a wage, you're not a slave. And survival can be maintained outside the capitalist system so, you have a choice not to participate.""People who must work in a capacity determined by the market in order to feed and clothe their children are not free.""If they choose to have kids and raise them in the US, then that's their choice isn't it? Last time I checked, no one was forced to have kids or raise them here. And again, you blame capitalism, but it's the government that makes public school mandatory. Government sends the DYFS goons to tell you how to raise your kids if you're not on board with ""the system"", not capitalism. You're only in the capitalism game if you want your kids to have cool clothes and Xbox and Internet. You can raise them in the bush in Kenya for all I care. I just don't want to PAY for your kids.In a free market, people are forced to behave according to their means. With BI, have all the kids you WANT! Don't worry, the government will supply everything. Food, shelter, healthcare, education--- Why even raise them? You're not responsible. What a terrible system you're proposing. Where the Heck did you learn all this?""There is no choice in, ""quit this job and starve, or continue working and eat."" In a scenario like this, self-determination is impossible.""Uh, yeah, there is a choice. That you don't see it is very, very sad.""That's what a democratic government is!""No, young Skywalker, it is not. The deck is stacked and the vote is rigged. But someone that worships government like yourself cannot see the forests for the trees. On the one hand, you say the capitalist system is a system of slavery, but on the other hand you say, well if you don't like America, get lost. That's a very dangerous proposition these days considering the behavior of the American Empire and its current leader. Make up your mind. All we all slaves, unable to leave or are we all free to leave? If we're free to move to Somalia to be blown up by a drone, are we not free to change careers or start a business anymore?My suggestion to you is that you should immediately start your own business. It would be quite an educational experience for you. We'll see how you react to the reams of government regulation and taxes. How will you fare when one of your employees cries poor and you catch him again and again goofing off at work or even stealing from you? I'll be your tune will suddenly change then. You're very generous with other people's money. I wonder how generous you'll be when it's your own on the line.
"
49350,1,"I think what Afro_Samurai is saying is that the state licensed stores from which you can legally purchase pot aren't running yet.And those stores are different from the medical marijuana program. So I'm not sure 'legalized' is the best offhand way to describe it when there are still such strict limits on how much you can buy, and where you can buy it. I wish you well in your buying quest!
"
51107,1,"The 420 gold wheeles mix tape is chill and the weed is legal wiz mix tape
"
51386,1,"Their rights when interacting with a police officer. In America there is almost nothing that a police officer has to do to have the right search you. You ""smell"" like pot, nothing further needed to search your car. You left a baggie of weed out and your roommate let a cop in? Sorry buddy you're going to jail. In the past 30 years the rules concerning your 4th and 5th amendment rights have become weaker and weaker. One of the very few things that can keep you safe is silence, and most of the time that doesn't work either.
"
54738,1,"A ticket does not imply that you're a criminal. Granted, it's still a grey area because you can't buy it or smoke it or even have it with no issues whatsoever. Decriminalization is a weird thing and sends a horrible message if you ask me. It's really just encouraging criminals, since it's ""not a crime"" to have an ounce, there will probably be more demand... but since you can't grow it legal... where does it come from?! It seems like a twisted way for the state to say, ""Look, see! We're giving you what you want!"" But in reality, they cannabis industry is no safer today than it was yesterday under decriminalization only.
"
56930,1,"Meanwhile, Americans celebrate that gay marriage is a possibility and someone wants to legalize marijuana in Alabama.Yay!
"
60360,1,"i had an incident in february where i was told i got possession of marijuana. i had yet to receive a letter about it but i was told that i would receive a letter in the mail with a court date. never got it. and then when the cop took down my name and relayed the info back to the station he got a reply saying i had a warrant and he had to bring me in.
"
70415,1,"Yeah as a none smoker I wouldnt support him just because of his views of gun rights. I do however think we should legalize marijuana so hopefully it makes some headway
"
72368,1,"Exaggeration of medicinal uses, encouraging claims of ""natural"" medicine being superior, promoting self-medication over doctor prescribed, using a drug with few means of controlling active ingredient dosage, processing plants in non-medical grade.facilities, no legal recourse to sue marijuana manufacturer for health problems created by the drug or contamination, forcing even more valuable research money to be spent on this one plant over 200,000 other plants with possible medicinal qualities, getting.treatment ""advice"" from testimonials rather then peer reviewed sources, ignoring more effective drug treatments because of wonder drug claims anD ALL THESE MINOR MEDICINAL CLAIMS ARE BEING PROMOTED BY PEOPLE WHO REALLY JUST WANT IT LEGALIZED TO GET HIGH. If there is a plant with more research done on it and more promoters of its beneficial effects which fails to live up to science backed expectations, I can't think of it.
"
74394,1,"it happens. marijuana distributors get busted in california quite regularly. and the state can't do anything because federal (US) law trumps state law.
"
77738,1,"Nothing like busting up the constitution for a weed. Make sure big pharma/corporate prisons/the police can make profit on a free plant.Did they have a warrant to enter the premises? If they didn't she should have told them to get off her property.
"
81518,1,"Yeah, but isn't weed only decriminalized in Colorado?
"
82714,1,"I have one thing to say. So how come is drinking allowed? Many studies have shown its impact of brain tissue while studies also show marijuana doesn't harm rain tissue. I say it's the people's choice whets they or not they want to smoke weed. We need to change laws so police can focus on harder drugs that are physically addictive and deadly. That's just my opinion and I respect yours.
"
84084,1,"Rick Simpson Oil. Google it. Marijuana cures cancer. Medical marijuana is not covered under ""Obamacare"" The oil extracted form 1 lb of bud is enough to cure most any cancer. Has been proven time and time again. So this is more of a model case of why Obamacare is not needed. Instead, what we need is to get rid of the prohibition of marijuana, and stop the senseless and unneeded radiation and chemotherapy treatments. This person does not need hundreds of thousands of dollars for cancer treatment, they just need the freedom to grow free medicine in their back yard without the fear of imprisonment.
"
85383,0,"Reddit's schizophrenia when it comes to le S[weed]en: literally a paradise on Earth that turns in an instant to a tyrannical police state whenever the possibility that Assange *may, just may* have questions to answer in Sweden is brought up.
"
85575,1,"High accidents are rare. Drunk driving accidents on the other hand are far too common. If weed was legal, there'd be less people using it. Take the Netherlands or Portugal for example. There are many other countries that have seen this trend as well I can't think off the top of my head. While it isn't safe to drive when you're high, obviously, I hate to see this issue being blown up like it's happening everywhere. Get real. When's the last time you saw in the news ""High driver kills family of 5."" Probably never. Lets stick to the real and current issues.
"
86510,1,"Also, both sativas and indicas are only variants of the same species, Cannabis sativa. They would be termed Cannabis sativa var. sativa and Cannabis sativa var. indica; both are scheduled the same under federal law.
"
94235,1,"As a stubborn old fashioned and prudish conservative, weed is fucking stupid to me and I don't understand the appeal of being high.But it doesn't take much to see Bloomberg is just trying to stick it to people he doesn't like and doesn't understand.He does it to Republicans (of whom he is technically a member) when he subverts the party mainstream and conservatives on guns, or the role of the state when it comes to more trivial regulations (like large soda bans), and it doesn't surprise me he's only too happy to stamp down on issues more popular with the left like marijuana legalization.He's just an authoritarian, plain and simple.edit: But screw smoking it in public. Cigarettes too. I'm all for alcohol in public being legal - disorderly behavior laws take care of the things that are actually problems but there's little more obnoxious than getting caught behind a smoker.
"
95578,1,"Federal Law in the United States still prohibits marijuana so crossing an international border with it may not be the best idea.
"
95732,1,"I'm a cop and this is my throw away. I work in California and most of us could give two shits about weed. That's a pretty fuckin sweet hiding spot though. Nice work there Lou.
"
95940,1,"Well, you don't need to carry a weapon just because you are smoking weed. He uses a weapon because he is a dangerous criminal, not because he is a weed smoker.
"
97383,1,"Possession and consumption of small/moderate amounts of marijuana. Theoretically it's grounds for serving time, but people don't care too much. I know a few people who've been fined, but nobody who's ever gone to jail. As long as you're not a complete sketchball and/or selling it in mass quantities, they'll leave you alone. Just toke in private and you're golden.
"
97897,1,"> this is just retarded alcoholics CAN DIE FROM WITHDRAWAL thereby making it near impossible to discern who would die from who wouldnt, making it impossible to fairly punish peopleReally? Did you read my argument at all. Any person whose an alcoholic can be allowed to stay in jail! Furthermore, if they're that depended then they'll just drink and accept the punishment later.> im not punishing solely pot heads, even if you dont smoke pot if you break the same laws you still cant smoke pot until the amount of time is up, im not targeting pot heads i just think marijuana should be a privilege you're making unnecessary correlations that just dont work in the real worldCome on. You're adding a needless extra condition to the law, one that doesn't serve any purpose but to give one group of people an extra incentive not to do something. It's not that complicated. Arguing that this isn't punishing pot heads would be like arguing that it is ok for judges to start banning people from gay bars if they speed. After all, no one is allowed to go, the fact that straight men don't want to go to the gay bar doesn't mean that you're punishing gay men (sarcasm).> im not going to sit here and explain the difference between a sports game and marijuana like youre a fucking childSo in other words you've refused to defend your claim and instead showed a general ignorance of the fallacy. I'm not claiming that they are the same thing, I'm claiming that the too actions are equivalent in this subject matter. Seriously, if you don't understand basic rhetoric then you're the one whose a child.> edit: its painfully clear youre just a pot head who has almost no idea what hes talking aboutActually I don't smoke pot. It's painfully clear to me though that you're a person with a deep seated hatred toward marijuana users.
"
98797,1,"yeah, exactly, which is why I hate people who preach that pot isn't addictive, as opposed to physically addictive. I want pot to be legal, it does a lot of good. Doesn't merit telling people you can't get addicted to it. Many mental addictions are based on the prep, and the anticipation, which you get mighty right from packing a bowl.So if your going to counter an addicted to pot argument, use something more intelligent and less sarcastic than>TIL you can get addicted to potI don't care if you're talking to an idiot/sarcastic asshole. It doesn't justify making blanket arguments in return.
"
98870,1,"Its not ""worth"" it because the risk of apprehension by law enforcement is higher in ""civilized"" countries. Just as legalizing cannabis would eliminate a huge chunk of income from cartels, legalizing prostitution would remove their monopoly on the sex trade, denying them the resources to continue their sex trafficking operations.
"
99049,1,"There are a bunch of pulp and paper companies who want this to happen. They know that it would be vastly cheaper to cultivate with much higher production yields, which means they'd stand to make serious money. Out here in the PacNW, a place well known for it's social tolerance of pot (Washington legalized it, Oregon has it decriminalized and the only reason it didn't get legalized in the last election was that the measure was VERY badly written) there are a ton of lumber companies that are quietly doing studies on what it would take to swap over some of their properties into industrial hemp production.
"
101216,1,"so owning a pipe will get you a felony, but possessing marijuana is only a misdemeanor. i see the logic
"
101774,1,"Kentucky is trying to get a bill through to legalize industrial hemp. It's a start.
"
102717,1,"shit i wish it was a good sunny day in AZ fucking marijuana laws here are utterly outrageous
"
103893,1,"I would estimate pot usage to increase 50-300% as a result of legalization. This would reflect the increases in usage after legalizing other drugs (alcohol, opium, etc) although not pot itself, since legalizing pot has never really been done before. Which is why I have such a vague guess, 50-300%. Decriminalization, comparatively, risks a lot less when it comes to increased usage.Despite this, it is not likely pot usage will outscale tobacco usage outside of specific markets in the forseeable future, 850+ million people use tobacco.Still in favor of ilegalization though. I think the end of the drug war, and the increased liberty to people that do choose to use pot, is worth the cost of more users. Alcohol and tobacco usage are STILL going to be more popular then pot usage (as a whole), and they both have more potential for abuse. Pot is also easier to grow then tobacco, and easier to smuggle then both. I think if we decide as a society that the increase in liberty from letting people make their own choices is worth it for those two drugs, we should extend the same logic to pot, as the logic is MORE true for pot then it is for those other two drugs.On the other hand. once I started to realize just HOW MUCH usage would probably increase I became more in favor of decriminalization standpoints which is a sort of ""best of both worlds"" approach in that it avoids costly police work, while keeping an increase in usage very low or non-existant. Decriminalization is better then the system we have now in pretty much every way, and it's a no-brainer, although I'm not sure if it's better then legalization.My proposition is that pot is decriminalized everywhere, put onto schedule 2, and individual countries/states/whatever that want to try legalization can. But there should be a sunset provision, after say 5 years, where the law would be reviewed and people would have to ask themselves if things were moving in the right direction.
"
105415,1,"I like to have variety. Generally having two plants is no worse than having one from a legal standpoint and cuts down the amount of veg time you need to get a certain amount of product. That said after a grow or two you should have way more pot than you know what to do with so you'll have a lot of variety after a few runs.I would suggest having a separate area you can use for keeping mothers of strains you like. It doesn't need to be large, I use an 18gal tub that I lined with mylar and put two PC fans in that currently has 2 23W CFLs in it because I'm trying to keep plants slow because I'm not putting anything into flower in the summer after the current crop finishes.
"
106948,1,"It's not even about changing your mind as it is about becoming more realistic about the president. I thought the hero-worship of Obama was cringe-worthy, and as someone who has seen many elections and numerous presidents come and go, they are all pretty much the same at a certain level, and there is nothing that any of us can do about it. It is at another level that voting makes a difference. Under Obama, this country finally legislated some sort of national health care. It needs work and it will evolve, but it got started. Also under Obama we saw the legalization of marijuana in a couple of states, a crack in the wall that should have come many years ago. We are also seeing same-sex marriage become a reality. None of this would have happened under a Republican president. People just have to be realistic about what they expect from their president, and don't treat him as some sort of deity. If they fulfill half of their campaign promises then that should be considered a decent presidency. I just expect them to not screw up the entire nation and/or world, which is what Bush did. On balance, Obama has done a pretty good job. I never expected perfection from him.BTW, all this NSA hullabaloo is nonsense. We've all known this was happening all along. Before the internet they were listening in on our phone calls and reading our mail. Today they are logging our searches and storing our email. Now that someone comes along and confirms it everyone is going apeshit, but we shouldn't really be surprised. We also shouldn't be surprised that Obama is going along with it. The NSA was there before him, and the NSA will be there after him. To them, he's just a passing cloud.
"
107311,0,"Nigguh! True Crime: Streets of LA have motherfucking Snoop Dogg with his own pimpmobile. this disappointment of a sequel will never reach an enjoyment i get when snoop arrest arms dealers while i smoke a joint
"
114583,1,"Yea but /r/marijuana is already all with legalization more official. Trees should be how it used to be to be more fun
"
